Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
735995.0000,24000.0000, NaN,588.0000,16.0000,8.8000,684.0000,85.0000,12.0000,140.0000,7.5800,
736023.0000, NaN, NaN,541.0000, NaN, NaN,407.0000,60.0000,9.2000,140.0000,7.6500,
736054.0000, NaN, NaN,602.0000, NaN, NaN,445.0000,65.0000,11.0000,220.0000,7.6200,
736084.0000,0.0000, NaN,575.0000,35.0000,9.2000,481.0000,75.0000,11.0000,130.0000,7.6400,
736115.0000, NaN, NaN,610.0000, NaN,10.0000,466.0000,65.0000,10.0000,190.0000,7.5800,
736145.0000, NaN, NaN,605.0000, NaN, NaN,453.0000,75.0000,12.0000,120.0000,7.6600,
736176.0000,0.0000, NaN,619.9040,30.0000,12.0000,242.0000,70.0000,11.0000,138.0000,7.5300,
736207.0000, NaN, NaN,637.3200, NaN, NaN,452.0000,55.0000,8.2000,148.0000,7.5400,
736237.0000, NaN, NaN,612.7430, NaN, NaN,292.0000,65.0000,9.4000,159.0000,7.5600,
736268.0000,0.0000, NaN,597.8160,30.0000,7.8000,285.0000,70.0000,11.0000,150.0000,7.5600,
736298.0000, NaN, NaN,543.8480, NaN, NaN,234.0000,75.0000,12.0000,143.0000,7.6100,
736329.0000, NaN, NaN,553.1810, NaN, NaN,310.0000,65.0000,11.0000,154.0000,7.6000,
736360.0000,24000.0000, NaN,543.8810,45.0000, NaN,491.0000,75.0000,10.0000,154.0000,7.6400,
736389.0000, NaN, NaN,515.5530, NaN, NaN,644.0000,75.0000,12.0000,154.0000,7.6100,
736420.0000, NaN, NaN,544.3830, NaN, NaN,716.0000,60.0000,9.2000,153.0000,7.5900,
736450.0000,24000.0000, NaN,531.0930,35.0000, NaN,920.0000,70.0000,11.0000,151.0000,7.5500,
736481.0000, NaN, NaN,566.4080, NaN, NaN,450.0000,65.0000,11.0000,140.0000,7.6000,
736511.0000, NaN, NaN,539.1590, NaN, NaN,1164.0000,65.0000,10.0000,144.0000,7.6400,
736542.0000,24000.0000, NaN,558.0620,20.0000, NaN,510.0000,60.0000,8.8000,120.0000,7.6300,
736573.0000, NaN, NaN,575.2960, NaN, NaN,377.0000,65.0000,9.9000,140.0000,7.6000,
736603.0000, NaN, NaN,553.8060, NaN, NaN,522.0000,70.0000,9.4000,140.0000,7.5600,
736634.0000,24000.0000, NaN,570.5190,25.0000, NaN,366.0000,65.0000,9.2000,130.0000,7.6600,
736664.0000, NaN, NaN,498.7390, NaN, NaN,470.0000,70.0000,11.0000,140.0000,7.6400,
736695.0000, NaN, NaN,500.1920, NaN, NaN,722.0000,75.0000,11.0000,120.0000,7.6400,
736726.0000,24000.0000, NaN,537.3190,30.0000, NaN, NaN,70.0000,9.7000,120.0000,7.4800,
736754.0000, NaN, NaN,523.7040, NaN, NaN, NaN,60.0000,9.0000,110.0000,7.6100,
736785.0000, NaN, NaN,557.6520, NaN, NaN, NaN,60.0000,9.3000,130.0000,7.6300,
736815.0000,24000.0000, NaN,534.1880,45.0000, NaN, NaN,70.0000,11.0000,180.0000,7.7300,
736846.0000, NaN, NaN,561.4400, NaN, NaN, NaN,65.0000,10.0000,130.0000,7.6400,
736876.0000, NaN, NaN,535.7380, NaN, NaN, NaN,65.0000,9.7000,190.0000,7.6200,
736907.0000,24000.0000, NaN,564.9910,50.0000, NaN, NaN,65.0000,10.8000,170.0000,7.6200,
736938.0000, NaN, NaN,525.4290, NaN, NaN, NaN,55.0000,8.6000,150.0000,7.5600,
736968.0000, NaN, NaN,372.7010, NaN, NaN, NaN,65.0000,9.8000,170.0000,7.5300,
736999.0000,24000.0000, NaN,624.8130,9.0000, NaN, NaN,55.0000,7.4000,100.0000,7.6300,
737029.0000, NaN, NaN,548.5070, NaN, NaN, NaN,60.0000,8.7000,160.0000,7.5800,
737060.0000, NaN, NaN,560.2220, NaN, NaN, NaN,60.0000,8.9000,140.0000,7.6300,
737091.0000,24000.0000, NaN,570.2690,19.0000, NaN, NaN,65.0000,10.0000,160.0000,7.6000,
737119.0000, NaN, NaN,506.0740, NaN, NaN, NaN,60.0000,8.6000,130.0000,7.5900,
737150.0000, NaN, NaN,543.3870, NaN, NaN, NaN,60.0000,7.4000,120.0000,7.6900,
737180.0000,24000.0000, NaN,526.4580,60.0000, NaN, NaN,60.0000,9.6000,210.0000,7.6500,
737211.0000, NaN, NaN,554.5530, NaN, NaN, NaN,65.0000,9.1000,130.0000,7.6400,
737241.0000, NaN, NaN,564.8960, NaN, NaN, NaN,60.0000,8.0000,120.0000,7.6600,
737272.0000,24000.0000, NaN,611.0480,45.0000, NaN, NaN,60.0000,8.7000,110.0000,7.6200,
737303.0000, NaN, NaN,620.1330, NaN, NaN, NaN,75.0000,9.2000,65.0000,7.6900,
737333.0000, NaN, NaN,577.4160, NaN, NaN, NaN,60.0000,7.0000,110.0000,7.6800,
737364.0000,24000.0000, NaN,576.8370,35.0000, NaN, NaN,65.0000,7.8000,110.0000,7.5600,
737394.0000, NaN, NaN,544.1940, NaN, NaN, NaN,65.0000,7.6000,95.0000,7.7600,
737425.0000, NaN, NaN,552.7640, NaN, NaN, NaN,70.0000,7.9000,90.0000,7.6100,
737456.0000,24000.0000, NaN,543.4130,35.0000, NaN, NaN,75.0000,9.0000,120.0000,7.6300,
737484.0000, NaN, NaN,494.7860, NaN, NaN, NaN,65.0000,7.7000,100.0000,7.7000,
737515.0000, NaN, NaN,542.6960, NaN, NaN, NaN,65.0000,7.6000,110.0000,7.7500,
737545.0000,24000.0000, NaN,519.3320,25.0000, NaN, NaN,60.0000,7.8000,120.0000,7.6800,
737576.0000, NaN, NaN,540.5750, NaN, NaN, NaN,90.0000,10.0000,130.0000,7.8500,
737606.0000, NaN, NaN,537.9410, NaN, NaN, NaN,65.0000,7.9000,120.0000,7.6400,
737637.0000,24000.0000, NaN,567.1980,45.0000, NaN, NaN,60.0000,6.9000,110.0000,7.4300,
737668.0000, NaN, NaN,569.8180, NaN, NaN, NaN,70.0000,8.4000,100.0000,7.7000,
737698.0000, NaN, NaN,550.9270, NaN, NaN, NaN,60.0000,7.4000,130.0000,7.6400,
737729.0000,24000.0000, NaN,551.0840,25.0000, NaN, NaN,65.0000,8.0000,130.0000,7.7100,
737759.0000, NaN, NaN,519.0930, NaN, NaN, NaN,60.0000,7.9000,95.0000,7.7300,
737790.0000, NaN, NaN,528.6840, NaN, NaN, NaN,60.0000,7.9000,120.0000,7.7200,
737821.0000,24000.0000, NaN,519.4660,35.0000, NaN, NaN,70.0000,8.4000,140.0000,7.6300,
737850.0000, NaN, NaN,487.2980, NaN, NaN, NaN,60.0000,8.7000,90.0000,7.7000,
737881.0000, NaN, NaN,533.0460, NaN, NaN, NaN,60.0000,8.7000,150.0000,7.5200,
737911.0000,24000.0000, NaN,513.5520,45.0000, NaN, NaN,54.5000,7.6000,120.0000,7.6200,
737942.0000, NaN, NaN,549.2170, NaN, NaN, NaN,60.0000,8.7000,140.0000,7.6100,
737972.0000, NaN, NaN,535.9520, NaN, NaN, NaN,60.0000,8.1000,130.0000,7.6500,
738003.0000,24000.0000, NaN,549.2760,45.0000, NaN, NaN,55.0000,7.7000,120.0000,7.6700,
738034.0000, NaN, NaN,558.9600, NaN, NaN, NaN,80.0000,11.0000,180.0000,7.7900,
738064.0000, NaN, NaN,536.8080, NaN, NaN, NaN,55.0000,7.7000,120.0000,7.6200,
738095.0000,24000.0000, NaN,549.5900,45.0000, NaN, NaN,60.0000,7.7000,120.0000,7.7800,
738125.0000, NaN, NaN,530.1980, NaN, NaN, NaN,60.0000,8.1000,120.0000,7.6500,
738156.0000, NaN, NaN,544.3100, NaN, NaN, NaN,65.0000,8.7000,130.0000,7.7800,
738187.0000,24000.0000, NaN,533.1800,30.0000, NaN, NaN,65.0000,8.4000,120.0000,7.6000,
738215.0000, NaN, NaN,503.0060, NaN, NaN, NaN,60.0000,8.0000,130.0000,7.4700,
738246.0000, NaN, NaN,561.4200, NaN, NaN, NaN,55.0000,7.2000,130.0000,7.4900,
738276.0000,24000.0000, NaN,543.3000,40.0000, NaN, NaN,60.0000,7.0000,120.0000,7.5400,
738307.0000, NaN, NaN,549.8900, NaN, NaN, NaN,60.0000,7.6000,110.0000,7.6100,
738337.0000, NaN, NaN,543.8260, NaN, NaN, NaN,65.0000,8.2000,110.0000,7.6000,
